,user,text
45,Diiiamond4,Gotta love the men’s bathroom at Safeway. #coronavirus
46,rideboundless1,The struggle is real. Let’s see how long this lasts! #TraderJoes #coronavirus
47,ABC7,#BREAKING Universal Studios Hollywood theme park to close for two weeks to help contain #coronavirus
48,FaRah07595123,Insensitive and inhumane #Princewilliam #Coronavirus
49,DrDenaGrayson,"The infection rate in WA, CA, NY and other coastal states is likely much higher than #OH.

Assume an average of 1% of the total US population is infected with #coronavirus right now3.3 million people.

Expect an explosion of #COVID19 cases thru March."
50,democracymum,Now will Jacinda Ardern do the right thing and cancel the #CHCH Memorial as well? #coronavirus #nzpol 
51,TheFestiveOwl,These last 3 weeks around #coronavirus have been the craziest 5 years I can ever remember. 
52,wozmatic,"On the bright side, you're now a meme for the rest of your life 
#Coronavirus #rudygobert"
53,littledeekay,"You said the media was overreacting. 
They were not.
You said sick people should go to work.
They should not.
You said the virus would just go away.
It will not.
You said the testing was perfect.
It is not.
You said America would be fine.
It is not.

Resign.
#Coronavirus #COVID"
54,LukeRussert,If you snag an interview with a senior administration official re #coronavirus —here’s the playbook. Watch how my old man evoked the collective outrage of the nation re disastrous Fed response to Katrina—
55,Complex,Pornhub giving away free premium access to Italy during #CoronaVirus quarantine: http://cmplx.co/bF6VLjQ
56,SHAPE_NATO,"General Wolters remarks on #DEFENDEReurope20 and the effects of #coronavirus. 

""We've embraced precautionary measures to safeguard the health not only of our personnel, but also of our communities.""

Script found: https://bit.ly/39Xoovb"
57,DHSCgovuk,"The most common symptoms of #coronavirus are:

New continuous cough
OR
High temperature (37.8 degrees or higher)  

If you have either of these, you need to:
 stay at home
 not leave your house for 7 days from when your symptoms started

Full info: http://nhs.uk/coronavirus"
58,SebGorka,President @realDonaldTrump is taking swift actions to combat the #coronavirus.
59,AmerAcadPeds,A new message to pediatricians from @AAPPres Dr. Sally Goza on #coronavirus
60,6abc,"#CORONAVIRUS UPDATE: Pennsylvania is shutting down schools, community centers, gyms, and entertainment venues in Montgomery County for 14 days in an effort to stop the spread of the coronavirus."
61,shomaristone,JUST IN:  Virginia Declares State of Emergency After 15 People Test Positive for Coronavirus. #coronavirus
62,dailydigger19,FIRST DEATH in India from #Coronavirus
63,CamOnTV,Bell County is discussing their plans with the community in relation to the #coronavirus
64,Big_DickRick69,The one upside to the #coronavirus is that it has been a long time since I have laughed this hard at tweets
65,rtenews,"Although supply chains are solid and constant, they are not designed to deal with bulk buying. If people grab all from the shelves, others will have to do without, writes #coronavirus @franmcnulty"
66,KarlBode,"NEW from me: As millions of US workers and students are forced to quarantine at home due to #coronavirus , experts say ISPs should immediately suspend usage caps and overage fees, long-viewed as little more than a monopolistic cash grab."
67,SaintConnor13,Shout outs to Vegas #coronavirus #toiletpapercrisis
68,howardfineman,#Pence says there's been 'irresponsible rhetoric' from people who are downplaying #coronavirus — @NBCNews⁩ The irony would be hilarious if it weren’t so infuriating.
69,dailydigger19,#Coronavirus video from Italy: this is what enforcing people to stay home looks like. Police patrolling the streets w/ drones.
70,ShobhaBJP,"Bharat is blessed to have a Prime Minister, who works & cares 24*7 for his people!

Iran had no facilities for #CoronaVirus testing, so @narendramodi Govt opts to transport lab set up & donates it to Iran after Indians evacuation!

This is how a Govt led by Pradhan Sevak Works!"
71,JoshNBCNews,"NEW: A Justice Department lawyer is a presumptive case for #coronavirus, @NBCNews has learned -"
72,DavidCornDC,"During oversight hearing, @katieporteroc presses Redfield to commit to using existing CDC authority to pay for #coronavirus testing and treatment for all. He says he ""will review it."" She muscles him until he says ""yes."""
73,CICSaudi,How #Saudi is stopping the spread of #Coronavirus in the Kingdom?@SaudiMOH
74,ambycomics,"No thanks!
#webcomic #CoronavirusPandemic #coronavirus"
75,businessinsider,"Brazilian President Jair Bolsonaro has been tested for the novel #coronavirus. 

Less than a week ago, he sat side-by-side with President Donald Trump at his Mar-a-Lago resort in Florida."
76,epicesquire,My 8 year old nephew wrote this poem about the #coronavirus
77,RepAndyBiggsAZ,"Late last night, the Democrats introduced their #coronavirus stimulus bill, which, I would suggest, includes provisions that are reactionary and not well thought out. I will be looking closely at this legislation - & any others - to ensure that taxpayer dollars are spent wisely."
78,DVATW,"HERE is why the #Coronavirus #WuhanVirus has been so lethal in northern Italy. Greed, corruption and open borders. People sacrificed on the altar of globalism.
@Imamofpeace @AnnCoulter @michellemalkin @JackPosobiec @Cernovich @KTHopkins @realDonaldTrump"
79,susancrabtree,".@SpeakerPelosi just said people shouldn't even elbow bump bc that brings your face close to others. 
""Just bow in an Asian style."" #Covid_19 #coronavirus"
80,sneheshphilip,"A sad example of how entitled some feel. 83 evacuees from #coronavirus-hit Italy create ruckus at Army facility, demand separate rooms, luxury facility."
81,BethRigby,NEW. Big jump in #coronavirus cases in UK. Up 134 to 590.
82,OfficialJoelF,Miami-Dade Police announced they will be suspending evictions due to the state of emergency #coronavirus
83,henrywinter,Football cannot continue as #coronavirus spreads. Suspend the leagues now.
84,25_Doctors,"Some good news coming out of #China.

#coronavirus #covid19 #covid2019"
85,UNmigration,"“We must all play our part by showing solidarity with the most vulnerable.”

-- @antonioguterres on #coronavirus outbreak:"
86,DineshDSouza,A STUDY IN CONTRASTS: #Coronavirus public response—drastic changes in behavior— shows people across the world think it is serious. #ClimateChange public response—no drastic changes in behavior—shows people across the world view it as a farce
87,ScottGottliebMD,"We updated our data on total #coronavirus testing capacity in U.S. Remember, our figures for total capacity do not reflect the actual number of tests being performed, but the number of patients who could potentially be screened daily if every lab were testing at maximum capacity"
88,IgBiology,#Coronavirus confirmed cases outside of China 
89,TeleFootball,"Exclusive: A Premier League club is testing all its players for #coronavirus after three players displayed symptoms. 

The league is under huge pressure to cancel matches, rather than simply play behind closed doors. 

Report by @JBurtTelegraph"
90,stephenbudd,Yes Minister on #coronavirus ...
91,Anthony41806183,#coronavirus it’s time you did your bit and be responsible stay at home and reduce the risk of this virus to yourself and others stay at home...
92,sarmadbcn,"Italian police enforcing the lockdown using drones
#Italy #Coronavirus"
93,peter_coulter,I think we’ve reached peak #Coronavirus on This Morning @daytimesnaps
94,IanByrneMP,"Large events must be cancelled, with @premierleague and other leagues suspended as we enter into next stage of this crisis. I’m lost for words why this hasn’t happened yet in order to halt spread of #coronavirus. Leaders need to lead & the health of *all*  citizens is paramount."
95,RosenellieR,To all my fellow healthcare workers!!! Just to make you smile  #coronavirus
96,CoronavirusCast,"#Selfisolating is the way to go.  If 40-70% of the US does contract #coronavirus, we will face an elevated case fatality rate because of shortages of antiviral medicine, ICU beds, masks and other PPE, and ventilators which we likely will not manufacture in time to prevent."
97,AlArabiya_Eng,"#Kuwait’s religious authorities asks Muslims to pray at home as Gulf Arab states stepped up measures to fight the spread of the new #coronavirus.

#COVID_19"
98,EO_palestine,#Palestine || The spokesman for the Palestinian government: The number of #coronavirus patients in the Palestinian territories has risen to 35.
99,jammerxx,Create posters encouraging people to wash their hands properly and regularly to help prevent the spread of #Coronavirus #Covid_19UK @OneMinuteBriefs
100,moneycontrolcom,"Tourism, hotels, restaurants and movie exhibition business will likely bear the brunt of the #Coronavirus outbreak, says @SubramanianKri"
101,gocareerlive,"I could get used to this.


#WorldSleepDay #selfisolating #coronavirus"
102,NonlinearHorse,"Best to stay at home and self isolate from #coronavirus on #Friday13th. 

Because if you open the front door, you know who's going to be there...  #crazyralph"
103,DancingTheMind,"From an Infectious Diseases doctor in UK @YannisGourtso
#covid19UK #coronavirus"
104,benruffels,"Makes a lot of sense in the context of the current run on toilet paper. No wonder @RB_Official is laughing at the rest of us. 

#Coronavirus #WashWithWater"
105,cseh_andreas,"“I’m super scared, but we still need to work,” said Iglesias is a front desk agent at Doubletree By Hilton Hotel Alana, #Waikiki Beach. She’s just one of thousands in the tourism industry dealing with #coronavirus fallout. https://khon2.com/local-news/the-visitor-industry-braces-for-layoffs-and-lawmakers-rush-to-help/… @kat_hara_Nikkei"
106,KamleshNandal,"#GodMorningFriday
Where in the Holy book it is prohibited to eat meat.
Then why is human society eating meat
#coronavirus"
107,ZYQ_GEOGIRL,"Coronavirus: Why You Must Act Now: a great paper by 
@tomaspueyo
#coronavirus virus #Covid_19"
108,GlobalNewsJapan,"#Coronavirus Cases in #Japan by Prefecture
@nippon_en "
109,Rich_bish1989,So close to hitting a thousand goals #Cr7 #FUT20 @MattHDGamer @NepentheZ @BuckArmy #Coronavirus can't stop him
110,nikallebeta,Students to #coronavirus rn
111,meanwhile_dan,"#Romania Designated PM Florin Cîțu stands down, while acting PM @orban_ludovic  goes into self-isolation over #coronavirus for 14 days, together with all liberal senators - #msm"
112,RudawEnglish,#BREAKING: 7 new #coronavirus cases confirmed in Sulaimani: health officials
113,QuickTake,"Masks are in high demand with the #CoronavirusPandemic, but they're also ending up as garbage washed ashore on Hong Kong's beaches.

Marine conservationists @oceansasia1 also say they could end up in the bellies of dolphins and turtles #coronavirus"
114,DrRanj,"The media are really not helping the #coronavirus situation.

Don’t take advice from TV presenters or celebrities on what to believe or do.

Experts are there for a reason. They have knowledge and information - not opinion.

Go to http://nhs.uk/coronavirus for the latest!"
115,rapplerdotcom,"JUST IN: Quezon City declares a state of calamity due to the #coronavirus outbreak. | via @reetuquero 

Story to follow on http://rappler.com/coronavirus"
116,SygenWave,"Update: So sorry to announce this but #HardRockMonday @HardRockCafeSyd performances have been canceled until.. Well we don't know 
Its up to what happens with this #CoronaVirus "
117,Mr_MB5,I know these cards aren’t PPV but if 249 goes ahead without a crowd will we get it cheaper? @danawhite @ufc #coronavirus
118,Shafiq_Achakzai,"Why not explicitly say that the people of Balochistan are infected with the #coronavirus and intend to fill their pockets with @WHO and then ask for charity
#PashtunLongMarch2Quetta
#StateKidnappedGilaman"
119,mannkibaat,"No Panic, Only Precautions!

AIIMS Director Dr. Randeep Guleria explains how to wash  hands properly to prevent infection.
#HelpUsToHelpYou
#coronavirus
@MoHFW_INDIA"
120,AJEnglish,"#Coronavirus updates:

• Canadian PM Trudeau's wife tests positive
• Recoveries exceed new cases in S Korea
• Kenya confirms first case
• Australian home affairs minister tests positive
• China's 1st coronavirus case traced back to Nov 17

Latest https://aje.io/9xznn"
121,AFP,"Bandages of honour.

Photo essay by @AFP's @edwardesjones captures the pads, plasters and tape covering the sores on the faces of South Korean nurses who spend hours tending to #coronavirus patients 

http://u.afp.com/35e7"
122,QadeerSayss,"Pray for world 
#JummahMubarak
#prayer
#coronavirus"
123,CommsHero,Communicating comms in a crisis is a very important job. Thank you to all the #CommsHero types out there pulling together and providing clear and helpful information and keeping us all up to date across the world  #Covid_19 #coronavirus
124,bilaldarone9,"Short film released by Ministry of Health Saudi Arabia to prevent #coronavirus 
kindly please do watch it and reply to and don't forget to forward it as it will not help one or two it will help millions of people with the small effort of yours to save humanity. ( RT )"
125,ShantikrupaS,"We can survive for 30 days without food,3 days without water,
but only 3 minutes without air???Pure Air. Pure Life.Germ Free Air. Always Be Connected.Keep Air Purifier @  for Fresh Air #teamShantikrupaSales
""All Cooling Solution under one Roof""
#coronavirus #AirPurifire"
126,MingNa,"Started stress eating ice cream.  

Now I need a topper! Suggestion please.   

#coronavirus #covid19"
127,mc_deetune,#coronavirus is more than a Twitter joke
128,ShivAroor,"Good news amidst the gloom! 

1. All 112 persons (from Wuhan) including 36 foreigners have tested NEGATIVE for #CoronaVirus at ITBP quarantine unit in Delhi. Discharge begins 11am.

2. At Army’s Manesar facility, 124 have completed 14 days, tested negative, being discharged soon."
129,linmassy,meanwhile the Costco lines in Inglewood are out of pocket  #coronavirus
130,davidsupharmd,"How to take off disposable gloves

#coronavirus
#coronavirusnyc
#Covid_19"
131,FredFromPlano,"Death rate percentages for #Coronavirus:
(By Age)
• 60-69: 4%
• 70-79: 8%
• 80+: 15%
Also:
• Prior Heart Disease: 11%
• Diabetes: 7%
Dr. Philip Huang, Director
Dallas County Health and Human Services (DCHHS), just gave us more and better info than all of Washington, DC. "
132,AlexBistonTV,The scene Trader Joe’s in Studio City this evening...most everything was gone. One employee told me they’ve restocked three times today #Coronavirus #CBSLA
133,AsOverwatch,Real Photo of the brain trust leading the #coronavirus prevention at @BrockUniversity
134,AneeshVMadhavan,#coronavirus should be percieved gone out of hands in India too. With some persons with abroad travel hystory not co operating with @MoHFW_INDIA self quarantine and later testing positive. Govt should not hesitate for economy before its too late #healthFirst @PMOIndia
135,B52Malmet,"When the history of this time is told, let it be remembered when Americans were getting sick and dying of #coronavirus, Donald Trump was golfing at his resort and fundraising 10 million dollars in Florida for his re-election. We will recall in November."
136,billbirtles,"The world might be melting down due to #coronavirus, but this woman in #Beijing has some advice to ease the panic:"
137,faizal_tahir,"Preventing is always better than curing. 

#COVID19 #coronavirus"
138,tiffchanteuse,"#TraderJoes in downtown Manhattan, on 6th Ave & Spring St. Ppl have lost their goddamn minds. I’ve never seen anything like this. #Covid_19 #CoronavirusPandemic #panicbuying #apocalypse2020 #NYC #masshysteria #GodHelpUs #coronavirus"
139,cenkuygur,There is only one candidate in the race who believes everyone should be treated for the #coronavirus for free - that's @BernieSanders. Will media ask Trump & Biden what they'll do for citizens who can't afford treatment? Only reason not to ask it is if you want to protect Biden.
140,mattsheffield,"NEW: Paula White, a top official in the White House Office of Public Liaison, is scheduled to be the featured speaker at a fraudulent April conference promising ""supernatural protection from the #coronavirus now"" #Covid_19 https://rightwingwatch.org/post/trump-and-his-religious-right-allies-continue-to-send-mixed-messages-on-coronavirus/…"
141,miffythegamer,"If you're an archetypal Tory, #coronavirus is a gift from heaven. Kill off old folks who are reliant on those pesky state pensions. Kill off the chronically ill with their annoyingly expensive illnesses. Kill off the dirt poor who can't afford to eat well & keep healthy. Grim."
142,robertwolf32,"What a lousy day for USA but we now have a real win- 
watch @katieporteroc get CDC to say “yes” to covering all #CoronaVirus tests 
make this WIN go viral  
@AndrewYang
@Scaramucci
@fred_guttenberg
@RexChapman
@Alyssa_Milano
@SRuhle
@TheRickWilson"
143,PaulKadak,"Deserted #Rome: late afternoon view of the normally bustling #TreviFountain, #SpanishSteps & #PiazzaNavona - cleared by #coronavirus. All but supermarkets & pharmacies ordered closed as virus death toll in #Italy soars past 1,000. Latest on #COVID19 on #7NEWS."
144,valemercurii,"People of my hometown #Siena sing a popular song from their houses along an empty street to warm their hearts during the Italian #Covid_19 #lockdown.

#coronavirusitalia #COVID19 #coronavirus"
145,whitcornell,The national media is NOT covering the extent of how things have changed in the Seattle area over the last 10 days. Communities across the US should be preparing based on what is happening in Seattle RIGHT NOW. #coronavirus #seattlecovid19
146,helenschwab,"If you have a small chef- or owner-run restaurant you love, but don’t feel comfortable dining out there these #coronavirus days, ask if you can buy a gift certificate now for later use. Keeps some money coming in for them, and maybe helps keep them afloat in rough times. "
147,DrDenaGrayson,"BREAKING: #Ohio's top health official: ""At the very least 1% of our population is carrying this virus...We have 11.7 million people.""

That's 117,000 (!) people with #coronavirus.

As I've warned, #COVID19 cases will explode throughout March.

#pandemic"
148,Imani_Barbarin,"For accommodations that are REQUIRED BY LAW. 

So, imagine my surprise (all disabled people’s surprise) when because of the #coronavirus all of the accommodations we have been denied because we’re disabled have suddenly become available. 

8/?"
149,OhioStateNews,"#Coronavirus update: @OhioState extends spring break 1 week, suspends face-to-face classes for the rest of spring semester & will start process for students to move out of residence halls. More info:"
150,AndrewFeinberg,"NEW: White House comms veterans say @realDonaldTrump's #coronavirus speech shows ""not having a racist and a dilettante write your speeches is a good rule of thumb,"" but Tea Partiers I spoke gave props to @JoeBiden: ""Biden f*cking became president today."""
151,RVAwonk,"Televangelist Jim Bakker is being sued by the state of Missouri for selling fake #coronavirus cures on his website.

He claimed that one of the miracle cures “has the ability to kill every pathogen it has ever been tested on, including SARS and HIV.”"
152,nealtmorton,"BREAKING: @GovInslee will issue an executive order the closure of all schools, public and private, in King, Pierce and Snohomish counties for more than a month. Nearly 564K students attend K-12 schools here & ~217K qualify for subsidized meals https://seattletimes.com/education-lab/inslee-orders-all-private-public-k-12-schools-in-king-pierce-snohomish-counties-to-close-through-april-24/… #coronavirus"
153,apte_aayush,2008 #financialcrisis  vs 2020 #coronavirus  fueled crisis as of today.
154,SARS_COVID19,US : Hundreds of people are lined up to get into a Costco in Canyon Country CA amid the #coronavirus hysteria
155,TomthunkitsMind,"More craziness from the quarantine zone in China. #coronavirus  01
#ThursdayThoughts"
156,BBCNWT,"BREAKING: English Football Leagues suspended due to #Coronavirus. Seasons will be paused until at least April. Privately, sources have told the BBC that it is unlikely that professional football will resume in April."
157,HKrassenstein,WARNING: The @DailyCaller is falsely reporting that Democrats insisted that any #coronavirus bill require setting aside money for abortions.  This is a blatant lie based on a misinterpretation by the White House that The Daily Caller could have easily fact checked. Please share.
158,ImNaveenAcharyy,"Use  ! Take Care  #CoronaVirus !
Hyd - +Ve One  
Krishna - +Ve One 
Nellore - +Ve One 
Warangal - +Ve One"
159,ngathisway,Importantly wash your hands with soap #CoronaOutbreak #coronavirus #Covid_19 #Ghana #CoronaVirusSA #covid19Canada
160,MsJByrnes,"Thinking how to entertain your kids at home during lockdown? Make home made Lava Lamps - using Oil, food colouring and Alka Seltzer's (or Berocca boosts) . #Covid_19 #lockdown #coronavirus"
161,thatguyty981,It’s the only thing I have left #coronavirus
162,ShakibAhmad92,#coronavirus leave application
163,11thHour,"After previous attacks on his own government, @jmeacham says Trump is ""reaping what he sowed"" from those who doubt the stern warnings concerning the #coronavirus.

https://on.msnbc.com/3cUuuhs
#11thHour"
164,CricketNDTV,"A practice match in Colombo was halted as England announced they would be flying back to London, and the first of two Test matches due to start on March 19 has been postponed

#CoronavirusPandemic #Coronavirus #SLvENG #ENGvsSL"
165,SPServicesIE,"MYTHBUSTER  COVID-19 virus CAN be transmitted in areas with hot and humid climates.

Learn more 
https://who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters…
@WHO #coronavirus"
166,StoneIslandSK5,This fella is responsible for the Toilet Roll Hype #coronavirus #covid19 #toiletroll
167,solarshader,"Thankfully, Solinear hasn't had any cases - we continue as normal. We take the welfare of staff/clients seriously, so we've had a Coronavirus briefing, making us aware of symptoms/prevention & understanding its implications. Have you been updated? #coronavirus #briefing #update"
168,browp20,"So says the man directly exposed to #coronavirus, who refuses testing and to self-quarantine.

Did #TrumpAdministration Fire the US Pandemic Response Team? ""True"" @snopes"
169,WeLoveAnime9,Cause it's #coronavirus season @revtheory
170,PipalProducts,"Prevention is better than cure!
Maintain yourself clean and your surroundings too to avoid communication with Coronavirus.

#Coronavirus #PipalProducts #StaySafe"
171,Trap__Advisor,"If we can all follow this official government advice in the traps please:

Wash Your Hands You Detty Pig!

Stay safe people. 

   
#coronavirus #Covid_19 #COVID_19uk"
172,TimesSport,"Lewis Hamilton may not be the most popular person in the paddock but his willingness to speak out over F1's handling of #coronavirus shows more leadership than most in his sport, writes @DickinsonTimes"
173,yadudenano,Planning on travelling to Copenhagen this weekend. Pretty unsure what will expect me there „coronawise“ are Bars and Cafés still open? @VisitCopenhagen #Denmark #copenhagen #coronavirus
174,mrsnalsok,"Today will be the last day for 3weeks that I’ll see my students due2  #coronavirus schools closure. ThxU @TeachKidsNews 4this kid friendly version of what @WHO has declared a #pandemic together we will read,share&reflect on how we can stay positive during a time of uncertainty"
175,BBCKentSport," @TheGillsFC's match at home to Fleetwood Town has been postponed with the EFL suspending all fixtures until April 3rd due to the #coronavirus outbreak.

 #Gills matches away at MK Dons and Rotherham United have also been called off."
176,marie_browne7,@EITMonline #costco #apocalypse #coronavirus.  I went to Costco in RVA to pick up some things....  There were 2 main lines that wrapped around produce.  I walked back out.
177,KathrynSummer5,I just signed a petition to demand paid special leave for all Australian workers affected by Covid-19 #coronavirus #auspol Pls sign & RT >> https://megaphone.org.au/petitions/coronovirus-support-paid-sick-leave-for-casual-workers?bucket=&source=twitter-share-button&utm_campaign=4862206424-EMAIL_CAMPAIGN_2020_03_13_12_41&utm_source=twitter&share=c0c5e517-5573-4431-a4d7-f89e05958192… via @MegaphoneAU
178,UNESCO,"There are simple things we all must do to protect ourselves from #COVID19, includingwashing w/&or alcohol-based rub

@WHO is launching the #SafeHands challenge to promote the power of cleanto fight #coronavirus

Join in & share yourwashing video!"
179,MilkRunNews,"CDC WORST-CASE SCENARIO: 1.7 MILLION DEATHS...
@CDCgov #CancelEverythingNow #COVD19 #coronavirus"
180,TheTweetwit,Donald Trump wouldn't be around today to blame the #coronavirus on CDC and Obama if 52 Republican Senators didn't cover up Trump's impeachment trial.
181,BBCkatyaadler,UK care homes take matters into own hands. Banning non-essential family visits to stem spread of #coronavirus before told to do so by government 
182,CoronaLotr,When everyone around you starts catching the #coronavirus. #LOTR
183,SEEV4City,"Due to the #coronavirus, the @nordicevs has been postponed. We are working on finding a solution for the #SEEV4City closing conference, which we will communicate as soon as possible."
184,dr_hhq,Respect!!! #CoronovirusPandemic #CoronaVirusUpdate #coronavirus
185,des_rec,"#Coronavirus, everyone can avoid it. I observe hygiene measures."
186,frank_dele,When they cancel everything but school in Tampa Bay  #coronavirus
187,libertyguard1,"Don't you worry people, we have it sorted here @ Liberty HQ 
#FridayFunny #CoronaVirus #LoorollGate "
188,TaylorSumelj,All the #coronavirus has taught me is that I fucking love touching my face
